op,lat,engine_lat,queue_wait,end_to_end,n
DELAY,2,4,1,6,1
DELAY,4,16,1,18,1
DELAY,3,8,1,10,1
DELAY,3,8,1,10,1
DELAY,0,1,1,3,1
# aggregated (op,lat,mean_engine_lat,n)
# DELAY,0,1.0,2
# DELAY,1,2.0,1
# DELAY,2,4.0,1
# DELAY,3,8.0,2
# DELAY,4,16.0,1
